,Date,Ethereum - Tweets
0,2016/03/16,1185
1,2016/03/17,1211
2,2016/03/18,1123
3,2016/03/19,943
4,2016/03/20,1304
5,2016/03/21,2233
6,2016/03/22,859
7,2016/03/23,944
8,2016/03/24,1982
9,2016/03/25,927
10,2016/03/26,712
11,2016/03/27,716
12,2016/03/28,1298
13,2016/03/29,1589
14,2016/03/30,1745
15,2016/03/31,988
16,2016/04/01,830
17,2016/04/02,743
18,2016/04/03,846
19,2016/04/04,1000
20,2016/04/05,1067
21,2016/04/06,967
22,2016/04/07,2284
23,2016/04/08,862
24,2016/04/09,759
25,2016/04/10,1073
26,2016/04/11,891
27,2016/04/12,1150
28,2016/04/13,907
29,2016/04/14,978
30,2016/04/15,1139
31,2016/04/16,701
32,2016/04/17,781
33,2016/04/18,1014
34,2016/04/19,962
35,2016/04/20,984
36,2016/04/21,883
37,2016/04/22,924
38,2016/04/23,607
39,2016/04/24,543
40,2016/04/25,923
41,2016/04/26,894
42,2016/04/27,735
43,2016/04/28,935
44,2016/04/29,916
45,2016/04/30,951
46,2016/05/01,773
47,2016/05/02,1114
48,2016/05/03,2628
49,2016/05/04,1261
50,2016/05/05,1181
51,2016/05/06,1085
52,2016/05/07,703
53,2016/05/08,856
54,2016/05/09,1110
55,2016/05/10,970
56,2016/05/11,1078
57,2016/05/12,905
58,2016/05/13,946
59,2016/05/14,764
60,2016/05/15,1009
61,2016/05/16,1588
62,2016/05/17,1346
63,2016/05/18,1636
64,2016/05/19,1929
65,2016/05/20,1638
66,2016/05/21,977
67,2016/05/22,1162
68,2016/05/23,1236
69,2016/05/24,1407
70,2016/05/25,1470
71,2016/05/26,1380
72,2016/05/27,1171
73,2016/05/28,1714
74,2016/05/29,1409
75,2016/05/30,3305
76,2016/05/31,1465
77,2016/06/01,2023
78,2016/06/02,1294
79,2016/06/03,1188
80,2016/06/04,844
81,2016/06/05,1091
82,2016/06/06,1072
83,2016/06/07,1500
84,2016/06/08,1673
85,2016/06/09,1573
86,2016/06/10,1324
87,2016/06/11,1086
88,2016/06/12,1200
89,2016/06/13,1766
90,2016/06/14,2136
91,2016/06/15,1780
92,2016/06/16,2106
93,2016/06/17,6219
94,2016/06/18,4386
95,2016/06/19,3235
96,2016/06/20,2649
97,2016/06/21,2523
98,2016/06/22,2402
99,2016/06/23,1877
100,2016/06/24,1896
101,2016/06/25,1315
102,2016/06/26,1175
103,2016/06/27,1425
104,2016/06/28,1512
105,2016/06/29,1945
106,2016/06/30,1303
107,2016/07/01,1241
108,2016/07/02,1326
109,2016/07/03,1061
110,2016/07/04,933
111,2016/07/05,1128
112,2016/07/06,1020
113,2016/07/07,1186
114,2016/07/08,1122
115,2016/07/09,817
116,2016/07/10,961
117,2016/07/11,1236
118,2016/07/12,1087
119,2016/07/13,934
120,2016/07/14,1023
121,2016/07/15,1280
122,2016/07/16,1102
123,2016/07/17,1330
124,2016/07/18,1377
125,2016/07/19,1904
126,2016/07/20,3555
127,2016/07/21,2207
128,2016/07/22,2045
129,2016/07/23,1362
130,2016/07/24,2808
131,2016/07/25,2338
132,2016/07/26,2943
133,2016/07/27,2343
134,2016/07/28,1948
135,2016/07/29,2028
136,2016/07/30,1618
137,2016/07/31,1574
138,2016/08/01,1862
139,2016/08/02,3703
140,2016/08/03,1734
141,2016/08/04,1466
142,2016/08/05,1850
143,2016/08/06,1036
144,2016/08/07,970
145,2016/08/08,1441
146,2016/08/09,1517
147,2016/08/10,1293
148,2016/08/11,1467
149,2016/08/12,1586
150,2016/08/13,1400
151,2016/08/14,1219
152,2016/08/15,1396
153,2016/08/16,1516
154,2016/08/17,1285
155,2016/08/18,1372
156,2016/08/19,1246
157,2016/08/20,978
158,2016/08/21,938
159,2016/08/22,968
160,2016/08/23,1294
161,2016/08/24,1296
162,2016/08/25,1485
163,2016/08/26,1590
164,2016/08/27,1103
165,2016/08/28,1288
166,2016/08/29,4367
167,2016/08/30,1240
168,2016/08/31,1228
169,2016/09/01,1287
170,2016/09/02,1191
171,2016/09/03,943
172,2016/09/04,884
173,2016/09/05,1012
174,2016/09/06,1872
175,2016/09/07,1645
176,2016/09/08,1492
177,2016/09/09,1618
178,2016/09/10,1882
179,2016/09/11,1272
180,2016/09/12,1291
181,2016/09/13,1453
182,2016/09/14,2093
183,2016/09/15,1963
184,2016/09/16,1498
185,2016/09/17,1691
186,2016/09/18,1310
187,2016/09/19,1818
188,2016/09/20,2688
189,2016/09/21,2490
190,2016/09/22,2824
191,2016/09/23,3588
192,2016/09/24,2011
193,2016/09/25,1739
194,2016/09/26,2414
195,2016/09/27,2841
196,2016/09/28,2583
197,2016/09/29,2935
198,2016/09/30,1915
199,2016/10/01,1485
200,2016/10/02,1556
201,2016/10/03,1836
202,2016/10/04,1996
203,2016/10/05,1738
204,2016/10/06,1940
205,2016/10/07,1830
206,2016/10/08,1573
207,2016/10/09,1403
208,2016/10/10,1398
209,2016/10/11,1669
210,2016/10/12,1481
211,2016/10/13,1713
212,2016/10/14,1833
213,2016/10/15,1615
214,2016/10/16,1224
215,2016/10/17,1483
216,2016/10/18,2008
217,2016/10/19,1892
218,2016/10/20,1537
219,2016/10/21,1251
220,2016/10/22,1205
221,2016/10/23,1050
222,2016/10/24,1345
223,2016/10/25,1437
224,2016/10/26,1657
225,2016/10/27,1561
226,2016/10/28,1652
227,2016/10/29,1608
228,2016/10/30,1420
229,2016/10/31,1636
230,2016/11/01,1685
231,2016/11/02,1686
232,2016/11/03,1929
233,2016/11/04,1621
234,2016/11/05,1455
235,2016/11/06,3091
236,2016/11/07,1377
237,2016/11/08,1496
238,2016/11/09,1656
239,2016/11/10,1548
240,2016/11/11,2105
241,2016/11/12,1525
242,2016/11/13,1948
243,2016/11/14,2687
244,2016/11/15,3038
245,2016/11/16,2341
246,2016/11/17,2645
247,2016/11/18,2802
248,2016/11/19,2282
249,2016/11/20,1957
250,2016/11/21,4974
251,2016/11/22,3026
252,2016/11/23,2440
253,2016/11/24,3073
254,2016/11/25,2533
255,2016/11/26,2231
256,2016/11/27,6856
257,2016/11/28,4254
258,2016/11/29,3263
259,2016/11/30,3429
260,2016/12/01,3644
261,2016/12/02,3164
262,2016/12/03,2247
263,2016/12/04,1852
264,2016/12/05,2076
265,2016/12/06,3178
266,2016/12/07,3804
267,2016/12/08,2433
268,2016/12/09,2236
269,2016/12/10,2034
270,2016/12/11,2187
271,2016/12/12,1959
272,2016/12/13,2874
273,2016/12/14,2608
274,2016/12/15,2306
275,2016/12/16,1920
276,2016/12/17,1919
277,2016/12/18,1898
278,2016/12/19,2955
279,2016/12/20,2904
280,2016/12/21,2514
281,2016/12/22,2557
282,2016/12/23,2213
283,2016/12/24,2168
284,2016/12/25,2092
285,2016/12/26,2460
286,2016/12/27,2280
287,2016/12/28,2142
288,2016/12/29,2424
289,2016/12/30,2272
290,2016/12/31,2161
291,2017/01/01,1791
292,2017/01/02,1751
293,2017/01/03,2639
294,2017/01/04,3452
295,2017/01/05,2896
296,2017/01/06,2283
297,2017/01/07,1653
298,2017/01/08,1734
299,2017/01/09,1968
300,2017/01/10,1847
301,2017/01/11,1661
302,2017/01/12,1611
303,2017/01/13,1739
304,2017/01/14,1446
305,2017/01/15,1820
306,2017/01/16,1817
307,2017/01/17,1821
308,2017/01/18,2604
309,2017/01/19,1887
310,2017/01/20,1648
311,2017/01/21,1416
312,2017/01/22,1596
313,2017/01/23,1924
314,2017/01/24,1831
315,2017/01/25,1851
316,2017/01/26,1771
317,2017/01/27,1834
318,2017/01/28,1470
319,2017/01/29,1466
320,2017/01/30,1479
321,2017/01/31,1472
322,2017/02/01,1673
323,2017/02/02,3207
324,2017/02/03,2049
325,2017/02/04,1494
326,2017/02/05,1482
327,2017/02/06,1659
328,2017/02/07,1910
329,2017/02/08,1987
330,2017/02/09,1837
331,2017/02/10,2241
332,2017/02/11,1893
333,2017/02/12,1637
334,2017/02/13,1735
335,2017/02/14,2320
336,2017/02/15,3673
337,2017/02/16,18078
338,2017/02/17,4287
339,2017/02/18,3759
340,2017/02/19,2984
341,2017/02/20,3469
342,2017/02/21,3470
343,2017/02/22,2934
344,2017/02/23,2862
345,2017/02/24,3159
346,2017/02/25,2565
347,2017/02/26,2853
348,2017/02/27,3660
349,2017/02/28,4700
350,2017/03/01,3865
351,2017/03/02,3593
352,2017/03/03,2841
353,2017/03/04,4207
354,2017/03/05,2265
355,2017/03/06,3238
356,2017/03/07,2307
357,2017/03/08,2416
358,2017/03/09,2981
359,2017/03/10,4173
360,2017/03/11,3670
361,2017/03/12,4090
362,2017/03/13,5321
363,2017/03/14,4659
364,2017/03/15,4888
365,2017/03/16,5545
366,2017/03/17,4902
367,2017/03/18,5211
368,2017/03/19,3449
369,2017/03/20,5631
370,2017/03/21,5091
371,2017/03/22,2852
372,2017/03/23,3089
373,2017/03/24,3773
374,2017/03/25,3030
375,2017/03/26,2745
376,2017/03/27,3655
377,2017/03/28,6384
378,2017/03/29,5187
379,2017/03/30,5085
380,2017/03/31,3084
381,2017/04/01,3314
382,2017/04/02,3232
383,2017/04/03,3608
384,2017/04/04,4682
385,2017/04/05,4248
386,2017/04/06,4721
387,2017/04/07,4161
388,2017/04/08,4486
389,2017/04/09,4161
390,2017/04/10,4599
391,2017/04/11,4450
392,2017/04/12,5287
393,2017/04/13,5045
394,2017/04/14,4085
395,2017/04/15,3791
396,2017/04/16,3516
397,2017/04/17,5209
398,2017/04/18,4328
399,2017/04/19,3578
