Date,Impact,classes_-1,classes_1,roberta_neg,roberta_neu,roberta_pos,tweet_volume,+1D BTC,Price Diff BTC,BTC Volume,BTC_close
2020-01-01,14142,11.0,41.0,13.43241160663,35.412086822,42.1555012854,13987.0,0,-214.7043921300001,18565664996.7884,7200.17439274
2020-01-02,14141,13.0,34.0,16.98938163164,38.617618812,35.3929981313,15920.0,1,359.41418280000016,20802083465.3292,6985.47000061
2020-01-03,25399,15.0,50.0,16.56688275563,41.6241905769,48.8089262284,19730.0,1,65.77238300999943,28111481031.9377,7344.88418341
2020-01-04,9496,11.0,24.0,12.36131830833,28.269648186,24.3690324674,16357.0,1,0.660760339999797,18444271274.7607,7410.65656642
2020-01-05,18747,16.0,27.0,17.0127113773,36.276231744,28.711056538,16533.0,1,357.90171229000043,19725074094.5446,7411.31732676
2020-01-06,16387,14.0,40.0,17.52524305834,44.98747841,38.487276592,16540.0,1,394.4732003899999,23276261598.2482,7769.21903905
2020-01-07,6935,14.0,37.0,17.96555837126,53.46821372,41.566227365,20950.0,0,-83.82946270999946,28767291326.9703,8163.69223944
2020-01-08,6987,17.0,31.0,16.88667867555,41.095988097,34.017333045,20820.0,0,-200.79125245000068,31672559264.5185,8079.86277673
2020-01-09,23707,15.0,29.0,15.48846027984,41.861222624,30.650316937,20500.0,1,287.48261611,24045990465.6494,7879.07152428
2020-01-10,-108536,11.0,41.0,13.29009023817,36.766260635,39.9436505555,18266.0,0,-129.0167516699994,28714583843.7846,8166.55414039
2020-01-11,5595,14.0,22.0,14.7998616023,33.956846599,23.2432924218,15900.0,1,154.95661660000042,25521165085.3714,8037.53738872
2020-01-12,10281,7.0,24.0,8.6593971851,27.603504601,22.7370974717,14383.0,0,-48.299487880000925,22903438381.3875,8192.49400532
2020-01-13,11483,10.0,32.0,12.33221018696,39.666821664,33.0009684118,15305.0,1,683.5699086199993,22482910687.9031,8144.19451744
2020-01-14,26660,17.0,47.0,18.69105217967,66.4689102285,55.84003948,20772.0,0,-20.75415073999829,44841784107.1774,8827.76442606
2020-01-15,12213,21.0,37.0,22.70450786445,58.149087401,43.1464050007,18142.0,0,-83.22450959000162,40102834649.9655,8807.01027532
2020-01-16,15711,16.0,31.0,17.31740035187,39.077291331,36.605308443,18513.0,1,205.25191187000016,31313981930.8235,8723.78576573
2020-01-17,25607,15.0,34.0,20.5408137797,48.491302436,34.96788343,17272.0,1,13.771225610000329,36372139320.4446,8929.0376776
2020-01-18,6483,18.0,25.0,16.817152666600002,43.9208367656,27.2620102755,17651.0,0,-236.56377328000053,32337772626.799,8942.80890321
2020-01-19,-1661,29.0,30.0,31.04738066155,52.155014101,30.7976059911,20557.0,0,-48.60219050999876,34217320471.3994,8706.24512993
2020-01-20,10536,17.0,23.0,19.5230322555,40.250935043,25.2260314593,18586.0,1,88.25184891000026,26422375678.0529,8657.64293942
2020-01-21,18499,16.0,41.0,14.17156526147,42.392098714,38.436335127999996,19285.0,0,-65.0187461100013,24097418512.0058,8745.89478833
2020-01-22,10102,16.0,37.0,15.80867263226,38.690836592000004,36.5004912428,19401.0,0,-274.35997442000007,22600204050.5816,8680.87604222
2020-01-23,9111,27.0,33.0,26.31166039333,38.2597859405,36.4285524184,18546.0,1,38.918213720000495,25770680778.6907,8406.5160678
2020-01-24,20450,14.0,29.0,14.76992348634,32.8722206885,30.3578561702,16643.0,0,-77.58650807999948,24397913025.6774,8445.43428152
2020-01-25,10093,12.0,21.0,13.6280763434,24.995820343,22.3761025103,13919.0,1,228.9820597199996,19647331548.6757,8367.84777344
2020-01-26,-1732,9.0,17.0,10.5395842503,22.334788574,17.1256278917,14485.0,1,312.98934437000025,22177678795.56,8596.82983316
2020-01-27,3337,26.0,29.0,21.60532774519,46.6797906373,32.714880699,18223.0,1,448.7711395000006,28647338393.165,8909.81917753
2020-01-28,6790,19.0,33.0,20.78457434198,42.548351741,35.6670735257,20422.0,0,-41.96081258000049,34398744402.6914,9358.59031703
2020-01-29,10124,23.0,35.0,23.94992694145,44.308688354,37.7413844074,22062.0,1,192.3640902499992,30682598115.464,9316.62950445
2020-01-30,22655,18.0,35.0,18.75909206227,41.998476342,38.2424302335,18452.0,0,-158.4642295199992,32378792850.8777,9508.9935947
2020-01-31,14452,9.0,36.0,12.4564338944,36.43019556,34.1133700164,17685.0,1,42.34600322999904,29432489719.1331,9350.52936518
2020-02-01,704,11.0,30.0,12.4136130667,31.502051744,29.0843339348,15818.0,0,-48.51007548999951,25922656496.1848,9392.87536841
2020-02-02,47511,19.0,63.0,21.03187815024,67.763947742,62.2041734285,75543.0,0,-50.84420383999896,30835736946.1066,9344.36529292
2020-02-03,11520,15.0,48.0,17.33583631565,49.372082995,47.2920792364,32917.0,0,-112.55812258000152,30934096508.7388,9293.52108908
2020-02-04,9701,22.0,44.0,22.95109202615,57.603797587,46.4451096845,28537.0,1,432.4613224500008,29893183716.0878,9180.9629665
2020-02-05,36383,20.0,63.0,22.35034979465,61.863905923,58.7857428189,34975.0,1,116.37794254000072,35222060874.4553,9613.42428895
